27539,39220,40523,54713,34142,29309,35484,34381,38844,29309,60118,42017,38637
9213,17464,7638,7186,4953,10660,8216,4392,10564,10660,6195,2666,1192
58248,113468,113573,158019,96495,104245,103760,112772,133769,104245,139702,135875,135138
1735,8191,8173,8108,6875,8344,10377,7957,10347,8344,8801,11131,7667
2062914,2129826,2206728,2274086,2369009,2401289,2388759,2411588,2337739,2401289,2426595,2563621,2608618
1077659,1112241,1117709,1177465,1091333,1087204,911252,687197,757908,1087204,834928,952996,1232928
18787,40199,32229,30488,40799,37457,23263,23682,21541,37457,48076,38326,17573
2352,3202,2704,4168,5166,5603,5285,5404,5289,5603,5834,5782,6284
1606765,950713,1906256,2316976,2014067,2479251,2523366,2641067,2912292,2479251,3499475,2660271,2713145
34343,35904,27097,35019,20590,26423,34302,35786,34146,26423,31224,38615,33727
19179,45521,49151,49152,50880,50825,53967,54664,73357,50825,105494,100559,121060
3976,2920,2752,2908,2346,2371,3421,2998,4504,2371,3592,2781,2890
1039309,1173203,1167620,1123195,1245497,1185370,1091258,1107135,1213645,1185370,1354250,1225327,1249253
811789,899058,921390,1063378,1410374,1370588,1218446,1017846,1082493,1370588,1294756,1317942,1141763
20600,23196,25287,28564,26625,27065,28685,22993,31117,27065,30846,26700,22691
35319,38138,45455,43719,98783,47981,57487,55916,61967,47981,64082,68103,54599
8078,7932,10478,8792,9843,11420,10050,7971,8497,11420,13628,7501,9118
79066,111087,135087,142085,214719,183304,184949,177684,174844,183304,189501,164086,159280
128111,128982,139846,175120,169492,138604,103014,120241,125619,138604,177213,166293,148886
2831,2948,3887,5008,3971,4749,3745,3654,5841,4749,2643,3310,1485
167094,314924,244268,283613,401228,299369,148148,160672,99304,299369,112697,83504,91360
91347,168398,99719,88179,106189,109995,101039,86775,96790,109995,103997,99379,125530
27274,29939,43085,43325,47479,48999,51924,38516,50317,48999,53904,47669,56169
17520,18370,28729,29444,28866,29453,40779,34199,25287,29453,36628,38356,25373
3035,4095,5672,5257,5349,6069,7528,3647,31472,6069,31946,3089,2219
380505,440931,426135,419822,456228,434876,444652,464987,492149,434876,511716,583525,582391
92513,235214,130869,116604,143499,100267,57403,48334,55445,100267,54402,55149,52310
10198,10173,12502,43999,43411,42330,69050,36892,44159,42330,46097,44896,26937
619197,730437,731750,845518,862957,922736,855092,722905,746341,922736,572588,506595,492281
2317,2759,3278,3914,3219,2932,3809,3566,4044,2932,2950,3407,5044
90205,94865,96682,87438,101111,106554,102462,99574,105845,106554,113065,110474,111387
3004296,3583494,3466799,3949283,4201649,4322562,4294330,4375097,4485036,4322562,4183624,4470225,4511259
832933,912487,827805,853380,929428,894894,975259,959143,994343,894894,1232118,1242529,1330023
16803,22349,24798,25422,27289,26482,35029,26380,29103,26482,27477,36865,23392
30858,41549,54202,56411,53244,44479,105263,102332,119026,44479,142489,111853,90910
541959,653099,711474,716565,826152,823373,942380,678771,392008,823373,472104,370836,370190
33995,31585,27571,26019,26864,31273,35118,29111,33511,31273,39421,31571,36192
395306,689481,634250,636409,804656,535186,24400,23627,14035,535186,12297,12679,17125
350731,377096,406210,464542,495240,508362,469718,476053,511811,508362,547535,550555,546324
3551,3584,4491,4335,5022,5294,5085,3923,4679,5294,8072,8015,6283
1489366,1687970,1610982,1681440,1782748,1853340,1770892,1942326,1945952,1853340,2409155,2422962,2233216
27049,31775,37788,36069,32832,27552,38016,39621,39560,27552,46334,41227,48048
1474683,1839590,2045788,2157378,2143718,2423334,2343315,2471258,2524649,2423334,2689915,2650066,2728605
342002,547674,469021,486707,509393,632495,624672,598071,632316,632495,666235,679040,738264
68722,124823,47973,82354,42256,58877,73283,63135,78169,58877,89619,75920,72572
1738,2155,3450,3150,3036,3807,4947,1743,5440,3807,2470,1623,2274
102541,99818,100955,110008,122113,124442,117677,134160,146371,124442,193627,220523,205312
2828058,4031233,3452689,3420060,3779027,3641869,2180096,2374926,2601626,3641869,2882041,2816040,2864324
135536,166377,219282,152619,155216,143700,203272,190962,244732,143700,283289,413898,427045
28574,30637,32967,33046,34669,35943,36031,44854,60824,35943,65172,59695,53485
30064,32416,35308,36327,32008,30492,48401,35744,33657,30492,34049,28386,21449
21921863,26041553,26390315,27254845,29449997,28839539,25238104,25167915,26202678,28839539,28411035,27732587,27913485